,name,calories,total_fat,sodium,protein,sugars,carbohydrate
5850,"Puddings, prepared with 2% milk, instant, dry mix, chocolate",105,1.9g,284.00 mg,3.15 g,0,18.89 g
5851,"Soybeans, with salt, steamed, cooked, sprouted, mature seeds",81,4.5g,246.00 mg,8.47 g,0.43 g,6.53 g
5852,"Puddings, prepared with whole milk, instant, dry mix, banana",115,2.8g,290.00 mg,2.62 g,17.38 g,19.76 g
5853,"Chicken, fried, cooked, meat only, thigh, broilers or fryers",218,10g,95.00 mg,28.18 g,0,1.18 g
5854,"Peppers, without salt, drained, boiled, cooked, green, sweet",28,0.2g,2.00 mg,0.92 g,3.19 g,6.70 g
5855,"Shortening industrial, soybean (hydrogenated) and cottonseed",884,100g,0.00 mg,0.00 g,0.00 g,0.00 g
5856,"Cookies, plain or honey (includes cinnamon), graham crackers",430,11g,459.00 mg,6.69 g,24.85 g,77.66 g
5857,"Rice, dry, enriched, precooked or instant, long-grain, white",380,0.9g,10.00 mg,7.82 g,0.05 g,82.32 g
5858,"Grapefruit, solids and liquids, water pack, canned, sections",36,0.1g,2.00 mg,0.58 g,8.75 g,9.15 g
5859,"Nuts, raw (liquid expressed from grated meat), coconut cream",330,35g,4.00 mg,3.63 g,0,6.65 g
5860,"Cereals, dry, enriched, regular and quick, white, corn grits",370,1.8g,1.00 mg,7.65 g,0.57 g,79.09 g
5861,"Cereals ready-to-eat, Dulce De Leche CHEERIOS, GENERAL MILLS",378,5.7g,509.00 mg,6.50 g,20.89 g,82.00 g
5862,"Cereals ready-to-eat, APPLE CINNAMON CHEERIOS, GENERAL MILLS",386,6.1g,390.00 mg,8.30 g,34.20 g,79.90 g
5863,"Wheat flour, calcium-fortified, enriched, all-purpose, white",364,1g,2.00 mg,10.33 g,0,76.31 g
5864,"Frostings, prepared with margarine, dry mix, creamy, vanilla",413,13g,114.00 mg,0.34 g,0,74.28 g
5865,"Cookies, reduced fat, with creme filling, chocolate sandwich",436,13g,471.00 mg,2.94 g,41.18 g,76.17 g
5866,"Restaurant, spaghetti with pomodoro sauce (no meat), Italian",104,1.9g,191.00 mg,3.90 g,1.82 g,17.77 g
5867,"Cereals ready-to-eat, RAISIN BRAN CRUNCH, KELLOGG'S, KELLOGG",354,1.8g,358.00 mg,6.59 g,35.20 g,84.90 g
5868,"CAMPBELL'S CHUNKY Soups, Hearty Chicken with Vegetables Soup",45,0.8g,290.00 mg,2.45 g,1.22 g,6.94 g
5869,"HOT POCKETS, frozen, meatballs & mozzarella stuffed sandwich",253,10g,439.00 mg,9.32 g,7.73 g,30.45 g
5870,"Squash, with salt, boiled, cooked, frozen, butternut, winter",39,0.1g,238.00 mg,1.23 g,0,10.04 g
5871,"Beef, braised, cooked, spleen, variety meats and by-products",145,4.2g,57.00 mg,25.10 g,0,0.00 g
5872,"Beef, braised, cooked, thymus, variety meats and by-products",319,25g,116.00 mg,21.85 g,0,0.00 g
5873,"Cereals ready-to-eat, RAISIN VINEYARD, KASHI ORGANIC PROMISE",342,0.8g,279.00 mg,8.69 g,23.39 g,79.90 g
5874,"Candies, TWIX chocolate fudge cookie bars, MARS SNACKFOOD US",550,33g,266.00 mg,7.30 g,53.00 g,56.00 g
5875,"Lamb, soaked and fried, cooked, liver, imported, New Zealand",168,6.6g,59.00 mg,25.80 g,0.00 g,1.48 g
5876,"Snacks, cheese-flavor, puffs or twists, extruded, corn-based",560,36g,942.00 mg,5.85 g,3.19 g,53.53 g
5877,"Cereals, dry, maple and brown sugar, Instant Oatmeal, QUAKER",368,4.6g,506.00 mg,9.20 g,30.02 g,76.91 g
5878,"DIGIORNO Pizza, baked, frozen, rising crust, supreme topping",255,11g,712.00 mg,11.74 g,4.71 g,27.93 g
5879,"Beans, solids and liquids, canned, mature seeds, red, kidney",81,0.4g,256.00 mg,5.22 g,1.85 g,14.83 g
5880,"Pokeberry shoots, with salt, drained, boiled, cooked, (poke)",20,0.4g,254.00 mg,2.30 g,1.60 g,3.10 g
5881,"Pickles, sweet (includes bread and butter pickles), cucumber",91,0.4g,457.00 mg,0.58 g,18.27 g,21.15 g
5882,"Biscuits, lower fat, refrigerated dough, plain or buttermilk",270,7.8g,828.00 mg,6.70 g,7.18 g,43.70 g
5883,"Brussels sprouts, with salt, drained, boiled, cooked, frozen",42,0.4g,259.00 mg,3.64 g,2.08 g,8.32 g
5884,"Broccoli, with salt, drained, boiled, cooked, spears, frozen",28,0.1g,260.00 mg,3.10 g,1.44 g,5.35 g
5885,"Onions, without salt, drained, boiled, cooked, whole, frozen",28,0.1g,8.00 mg,0.71 g,2.90 g,6.70 g
5886,"MARY'S GONE CRACKERS, Organic Gluten Free, Original Crackers",446,16g,587.00 mg,12.06 g,1.00 g,64.29 g
5887,"Beef, simmered, cooked, tripe, variety meats and by-products",94,4.1g,68.00 mg,11.71 g,0.00 g,1.99 g
5888,"Babyfood, junior, with applesauce and bananas, mixed, cereal",83,0.4g,3.00 mg,1.20 g,7.79 g,18.40 g
5889,"Fast Foods, meat and skin and breading, Thigh, Fried Chicken",274,18g,747.00 mg,19.23 g,0.00 g,8.68 g
5890,"KELLOGG'S, Frosted Confetti Cake Toaster Pastries, POP-TARTS",375,7.4g,460.00 mg,4.40 g,29.30 g,73.00 g
5891,"KELLOGG'S, Frosted Cinnamon Roll Toaster Pastries, POP-TARTS",416,14g,329.00 mg,4.70 g,26.20 g,67.80 g
5892,"KELLOGG'S, Frosted Apple Strudel Toaster Pastries, POP-TARTS",395,11g,329.00 mg,4.40 g,28.00 g,70.50 g
5893,"Margarine-like spread with yogurt, with salt, stick, 70% fat",630,70g,590.00 mg,0.30 g,0.00 g,0.50 g
5894,"Beef, broiled, cooked, patty, 95% lean meat / 5% fat, ground",174,6.8g,65.00 mg,26.29 g,0.00 g,0.00 g
5895,"Cheese, large or small curd, dry, uncreamed, nonfat, cottage",72,0.3g,372.00 mg,10.34 g,1.85 g,6.66 g
5896,"Nuts, with salt added, with peanuts, oil roasted, mixed nuts",607,54g,273.00 mg,20.04 g,4.15 g,21.05 g
5897,"Nuts, with salt added, with peanuts, dry roasted, mixed nuts",594,51g,345.00 mg,17.30 g,4.80 g,25.35 g
5898,"Cereals, dry, Creamy TRULY VANILLA, KASHI GO LEAN Hot Cereal",360,5.3g,274.00 mg,22.29 g,14.80 g,61.09 g
5899,"Crackers, with cheese filling, sandwich, standard snack-type",477,21g,978.00 mg,9.30 g,3.18 g,61.70 g
5900,"KEEBLER, Sandies Shortbread Cookies, 100 Calorie RIGHT BITES",468,17g,438.00 mg,5.20 g,25.80 g,73.90 g
5901,"MORNINGSTAR FARMS Breakfast Bacon Strips, unprepared, frozen",346,27g,1463.00 mg,12.40 g,0.80 g,14.30 g
5902,"Veal, braised, cooked, tongue, variety meats and by-products",202,10g,64.00 mg,25.85 g,0,0.00 g
5903,"Lamb, braised, cooked, tongue, variety meats and by-products",275,20g,67.00 mg,21.57 g,0,0.00 g
5904,"Elk, raw (Shoshone Bannock), eye of round, roast, free range",98,2.1g,43.00 mg,19.74 g,0.00 g,0.00 g
5905,"Buffalo, raw (Shoshone Bannock), top round steak, free range",97,1.3g,43.00 mg,21.44 g,0,0.00 g
5906,"Beverages, bottled, Cranberry-Apple Juice Drink, OCEAN SPRAY",56,0g,19.00 mg,0.29 g,13.12 g,13.68 g
5907,"Chicken, roasted, cooked, meat only, leg, broilers or fryers",174,7.8g,99.00 mg,24.22 g,0.00 g,0.00 g
5908,"Beverages, prepared with distilled water, brewed, black, tea",1,0g,0.00 mg,0.00 g,0,0.30 g
5909,"GENERAL MILLS, dry, BETTY CROCKER SUPERMOIST Yellow Cake Mix",413,8.1g,0,3.80 g,43.90 g,81.30 g
5910,"Fast foods, and sausage, cheese, with egg, breakfast burrito",277,16g,744.00 mg,11.10 g,2.57 g,22.97 g
5911,"Potatoes, whole milk and butter added, home-prepared, mashed",113,4.2g,317.00 mg,1.86 g,1.43 g,16.81 g
5912,"Mushrooms, grilled, exposed to ultraviolet light, portabella",29,0.6g,11.00 mg,3.28 g,2.26 g,4.44 g
5913,"Puddings, prepared with whole milk, regular, dry mix, banana",111,2.9g,158.00 mg,2.74 g,15.98 g,18.44 g
5914,"Sauce, low sodium, ready-to-serve, spaghetti/marinara, pasta",51,1.5g,30.00 mg,1.41 g,5.50 g,8.06 g
5915,"Fish, dry heat, cooked, flatfish (flounder and sole species)",86,2.4g,363.00 mg,15.24 g,0.00 g,0.00 g
5916,"Salami, 50% less sodium, sliced, dry, pork and beef, Italian",350,26g,936.00 mg,21.80 g,0.00 g,6.40 g
5917,"Cereals ready-to-eat, Cinnamon Burst CHEERIOS, GENERAL MILLS",375,6.1g,375.00 mg,6.30 g,28.10 g,83.20 g
5918,"Restaurant, from kids' menu, macaroni & cheese, family style",151,6.1g,361.00 mg,5.42 g,3.09 g,18.80 g
5919,"Chicken, stewed, cooked, meat only, wing, broilers or fryers",181,7.2g,73.00 mg,27.18 g,0.00 g,0.00 g
5920,"Beef, broiled, cooked, patty, 97% lean meat / 3% fat, ground",153,4.5g,64.00 mg,26.36 g,0.00 g,0.00 g
5921,"Beef, broiled, cooked, patty, 93% lean meat / 7% fat, ground",193,8.9g,66.00 mg,26.22 g,0.00 g,0.00 g
5922,"Grapefruit, solids and liquids, juice pack, canned, sections",37,0.1g,7.00 mg,0.70 g,8.80 g,9.21 g
5923,"Nuts, without salt added, dry roasted, hazelnuts or filberts",646,62g,0.00 mg,15.03 g,4.89 g,17.60 g
5924,"Cereals ready-to-eat, KELLOGG'S SPECIAL K Blueberry, KELLOGG",363,1.5g,481.00 mg,6.90 g,26.70 g,86.30 g
5925,"MORNINGSTAR FARMS Mediterranean Chickpea, unprepared, frozen",200,6.5g,357.00 mg,15.50 g,1.10 g,19.80 g
5926,"Fish, raw (may have been previously frozen), Alaska, pollock",56,0.4g,333.00 mg,12.19 g,0.00 g,0.00 g
5927,"CARRABBA'S ITALIAN GRILL, cheese ravioli with marinara sauce",156,6g,371.00 mg,7.96 g,4.15 g,17.62 g
5928,"Puddings, prepared with 2% milk, regular, dry mix, chocolate",111,2.1g,102.00 mg,3.28 g,11.85 g,19.76 g
5929,"Tofu, prepared with calcium sulfate, dried-frozen (koyadofu)",470,30g,6.00 mg,52.43 g,0,8.30 g
5930,"Beef, raw, separable lean only, flank, imported, New Zealand",142,6.7g,47.00 mg,20.53 g,0.00 g,0.00 g
5931,"Cereals ready-to-eat, KELLOGG'S SPECIAL K Chocolatey Delight",381,7.3g,582.00 mg,6.50 g,29.90 g,81.20 g
5932,"Veal, roasted, cooked, separable lean and fat, arm, shoulder",183,8.3g,90.00 mg,25.46 g,0,0.00 g
5933,"Veal, braised, cooked, separable lean and fat, arm, shoulder",236,10g,87.00 mg,33.63 g,0,0.00 g
5934,"Beef, simmered, cooked, heart, variety meats and by-products",165,4.7g,59.00 mg,28.48 g,0.00 g,0.15 g
5935,"Beef, simmered, cooked, brain, variety meats and by-products",151,11g,108.00 mg,11.67 g,0.00 g,1.48 g
5936,"Soup, ready-to-serve, canned, reduced sodium, chicken noodle",41,1.3g,186.00 mg,3.29 g,0.34 g,3.84 g
5937,"Milk, with added vitamin A and vitamin D, 2% fat, evaporated",107,2g,100.00 mg,6.67 g,6.67 g,15.74 g
5938,"Turkey, roasted, cooked, meat and skin, dark meat from whole",206,10g,105.00 mg,27.27 g,0.00 g,0.07 g
5939,"Peas and carrots, with salt, drained, boiled, cooked, frozen",48,0.4g,304.00 mg,3.09 g,4.36 g,10.12 g
5940,"Soup, prepared with equal volume milk, canned, tomato bisque",79,2.6g,442.00 mg,2.51 g,0,11.73 g
5941,"Cookie, and chocolate coating, coconut, vanilla with caramel",489,26g,182.00 mg,3.50 g,35.80 g,64.10 g
5942,"Cereals, high fiber, Cinnamon Swirl, Instant Oatmeal, QUAKER",366,4.8g,473.00 mg,8.79 g,14.70 g,75.67 g
5943,"Fast Foods, Skin and breading from all pieces, Fried Chicken",398,29g,965.00 mg,14.11 g,0.00 g,19.56 g
5944,"Beverages, frozen, concentrated, non-alcoholic, Cocktail mix",287,0g,0.00 mg,0.08 g,24.53 g,71.60 g
5945,"Pork, unheated, extra lean and regular, boneless, ham, cured",162,8.4g,1278.00 mg,18.26 g,0.00 g,2.28 g
5946,"CAMPBELL'S Red and White, condensed, Cream of Asparagus Soup",89,5.7g,669.00 mg,1.61 g,1.61 g,7.26 g
5947,"Babyfood, prepared with whole milk, with honey, rice, cereal",115,3.3g,49.00 mg,3.90 g,0,17.10 g
5948,"Potsticker or wonton, unprepared, frozen, pork and vegetable",136,5.5g,441.00 mg,8.28 g,2.76 g,13.28 g
5949,"Cowpeas, without salt, boiled, cooked, mature seeds, catjang",117,0.7g,19.00 mg,8.13 g,0,20.32 g
